aX,aY,aZ
0.061,-0.137,0.808
0.066,-0.123,0.809
0.066,-0.113,0.813
0.069,-0.109,0.817
0.071,-0.109,0.823
0.075,-0.112,0.823
0.083,-0.122,0.834
0.126,0.779,1.503
0.117,0.95,1.503
0.09,0.912,1.523
0.03,0.743,1.554
-0.059,0.512,1.582
-0.059,0.301,1.549
-0.148,0.125,1.472
-0.211,0.125,1.419
-0.234,0.008,1.419
-0.214,-0.055,1.429
-0.167,-0.083,1.483
-0.106,-0.085,1.529
-0.106,-0.07,1.535
-0.038,-0.052,1.497
0.028,-0.052,1.429
0.09,-0.023,1.322
0.128,0.015,1.322
0.139,0.041,1.195
0.144,0.053,1.097
0.145,0.055,1.012
0.145,0.043,0.929
0.138,0.026,0.861
0.126,0.026,0.805
0.117,0.012,0.805
0.112,0.003,0.759
0.106,0.008,0.727
0.101,0.024,0.704
0.101,0.044,0.691
0.099,0.066,0.678
0.099,0.066,0.659
0.093,0.086,0.659
0.081,0.102,0.642
0.071,0.116,0.63
0.061,0.122,0.62
0.061,0.121,0.61
0.051,0.121,0.616
0.047,0.121,0.638
0.05,0.122,0.667
0.056,0.122,0.667
0.058,0.122,0.698
0.06,0.109,0.72
0.06,0.084,0.741
0.066,0.061,0.77
0.071,0.061,0.805
0.075,0.042,0.842
0.08,0.026,0.842
0.084,0.013,0.878
0.087,0.005,0.914
0.087,-0.003,0.947
0.091,-0.012,0.988
0.098,-0.012,1.036
0.106,-0.015,1.064
0.106,-0.013,1.064
0.105,-0.022,1.074
0.106,-0.04,1.081
0.104,-0.059,1.08
0.104,-0.077,1.077
0.108,-0.077,1.098
0.119,-0.08,1.129
0.125,-0.073,1.142
0.128,-0.063,1.142
0.132,-0.055,1.138
0.139,-0.048,1.131
0.139,-0.043,1.127
0.149,-0.041,1.128
0.161,-0.041,1.132
0.175,-0.039,1.134
0.187,-0.028,1.134
0.196,-0.017,1.13
0.203,-0.011,1.122
0.209,-0.005,1.115
0.209,0.006,1.112
0.21,0.006,1.109
0.207,0.021,1.1
0.202,0.034,1.1
0.193,0.041,1.084
0.181,0.045,1.07
0.169,0.052,1.059
0.169,0.061,1.047
0.158,0.061,1.038
0.145,0.073,1.031
0.133,0.085,1.031
0.121,0.098,1.021
0.11,0.11,1.014
0.1,0.122,1.008
0.1,0.132,1.003
0.09,0.132,1
0.081,0.142,0.997
0.069,0.162,0.997
0.057,0.191,0.989
0.045,0.215,0.976
0.033,0.222,0.962
0.033,0.211,0.951
0.02,0.211,0.944
0.011,0.199,0.936
0.006,0.191,0.934
0.009,0.186,0.934
0.016,0.182,0.934
0.026,0.179,0.935
0.026,0.178,0.936
0.038,0.178,0.937
0.049,0.178,0.936
0.059,0.182,0.933
0.065,0.187,0.933
0.066,0.192,0.928
0.065,0.199,0.925
0.065,0.206,0.922
0.064,0.212,0.924
0.064,0.212,0.931
0.062,0.215,0.934
0.06,0.215,0.934
0.059,0.211,0.936
0.06,0.203,0.942
0.062,0.193,0.947
0.062,0.179,0.952
0.067,0.163,0.962
0.074,0.163,0.971
0.084,0.142,0.971
0.093,0.122,0.978
0.109,0.599,1.762
0.066,0.996,1.762
-0.018,1.222,2.071
-0.138,1.111,2.164
-0.282,0.785,2.09
-0.282,0.411,1.933
-0.409,0.036,1.732
-0.488,0.106,1.541
-0.496,-0.096,1.416
-0.445,-0.203,1.389
-0.357,-0.225,1.291
-0.252,-0.179,1.24
-0.252,-0.1,1.211
-0.14,0,1.194
-0.036,0,1.172
0.051,0.086,1.118
0.119,0.139,1.118
0.165,0.181,1.052
0.196,0.219,0.994
0.207,0.249,0.937
0.207,0.259,0.875
0.192,0.259,0.822
0.163,0.244,0.792
0.13,0.218,0.792
0.107,0.195,0.821
0.1,0.18,0.893
0.084,0.172,0.917
0.084,0.182,0.882
0.043,0.182,0.836
-0.01,0.205,0.806
-0.047,0.22,0.806
-0.062,0.218,0.808
-0.061,0.208,0.84
-0.047,0.199,0.876
-0.029,0.191,0.904
-0.029,0.186,0.925
-0.011,0.186,0.942
0.004,0.185,0.953
0.015,0.177,0.953
0.024,0.163,0.962
0.026,0.153,0.978
0.015,0.155,0.997
0.015,0.164,1.008
-0.004,0.164,1.01
-0.019,0.172,1.013
-0.029,0.181,1.013
