aX,aY,aZ
-0.498,1.257,2.23
-0.416,0.429,2.162
-0.605,0.429,1.84
-0.772,0.009,1.482
-0.839,0.031,1.482
-0.798,0.036,1.322
-0.686,-0.08,1.317
-0.546,-0.209,1.333
-0.546,-0.278,1.354
-0.389,-0.278,1.394
-0.221,-0.228,1.371
-0.081,-0.084,1.246
0.01,0.077,1.247
0.061,0.202,1.098
0.084,0.252,0.958
0.084,0.239,0.813
0.088,0.239,0.685
0.081,0.209,0.606
0.077,0.183,0.575
0.079,0.17,0.575
0.084,0.178,0.586
0.082,0.2,0.607
0.082,0.222,0.625
0.078,0.226,0.638
0.078,0.226,0.655
0.077,0.215,0.702
0.082,0.196,0.702
0.092,0.169,0.76
0.096,0.138,0.793
0.096,0.099,0.795
0.099,0.063,0.796
0.109,0.063,0.817
0.118,0.038,0.841
0.121,0.012,0.841
0.132,-0.022,0.863
0.152,-0.057,0.888
0.174,-0.08,0.912
0.174,-0.089,0.938
0.192,-0.093,0.965
0.203,-0.093,0.996
0.206,-0.087,1.121
0.198,-0.072,1.032
0.182,-0.051,1.058
0.163,-0.02,1.086
0.163,0.038,1.144
0.133,0.115,1.218
0.066,0.115,1.251
-0.021,0.163,1.239
-0.086,0.164,1.239
-0.116,0.142,1.208
-0.124,0.13,1.182
-0.126,0.137,1.175
-0.126,0.147,1.174
-0.132,0.147,1.168
-0.133,0.144,1.162
-0.121,0.122,1.162
-0.1,0.084,1.159
-0.073,0.044,1.162
-0.045,0.011,1.165
-0.045,-0.012,1.162
-0.018,-0.02,1.155
0,-0.02,1.147
0.008,-0.015,1.137
0.012,-0.005,1.137
0.01,0.008,1.123
0.002,0.019,1.105
-0.122,0.028,1.087
-0.003,0.039,1.072
-0.004,0.039,1.052
-0.005,0.047,1.032
-0.002,0.052,1.032
0,0.058,1.016
0.001,0.063,0.999
0.005,0.067,0.98
0.005,0.072,0.961
0.005,0.072,0.943
0.003,0.074,0.926
-0.001,0.072,0.926
-0.005,0.067,0.911
-0.007,0.063,0.9
-0.014,0.06,0.891
-0.014,0.056,0.882
-0.018,0.052,0.877
-0.015,0.052,0.874
-0.009,0.046,0.874
0,0.042,0.876
0.009,0.036,0.879
0.018,0.028,0.885
0.018,0.02,0.89
0.028,0.009,0.893
0.038,0.009,0.898
0.045,-0.001,0.898
0.047,-0.01,0.903
0.048,-0.019,0.908
0.048,-0.027,0.912
0.048,-0.035,0.915
0.046,-0.042,0.918
0.049,-0.042,0.92
0.049,-0.049,0.922
0.047,-0.056,0.922
0.052,-0.062,0.927
0.055,-0.069,0.929
0.055,-0.076,0.929
0.055,-0.084,0.929
0.058,-0.084,0.926
0.059,-0.092,0.92
0.057,-0.101,0.92
0.054,-0.11,0.912
0.05,-0.122,0.903
0.046,-0.133,0.895
0.046,-0.144,0.888
0.041,-0.154,0.88
0.038,-0.154,0.876
0.036,-0.16,0.876
0.037,-0.163,0.876
0.075,1.693,1.701
0.023,2.355,2.157
-0.041,2.137,2.068
-0.041,1.191,2.01
-0.124,0.343,1.943
-0.26,0.218,1.593
-0.425,0.202,1.347
-0.547,0.32,1.362
-0.574,0.231,1.362
-0.494,-0.032,1.481
-0.361,-0.252,1.625
-0.236,-0.315,1.704
-0.226,-0.221,1.687
-0.113,-0.221,1.567
-0.017,-0.048,1.372
0.072,0.099,1.372
0.152,0.169,1.145
0.229,0.16,0.931
0.291,0.106,0.775
0.291,0.067,0.676
0.319,0.067,0.59
0.321,0.062,0.509
0.308,0.089,0.385
0.283,0.135,0.466
0.229,0.193,0.441
0.144,0.242,0.385
0.144,0.275,0.368
0.08,0.305,0.409
0.041,0.305,0.459
0.007,0.329,0.532
-0.015,0.348,0.532
-0.028,0.356,0.621
-0.044,0.35,0.702
-0.044,0.342,0.755
-0.065,0.325,0.783
-0.081,0.325,0.804
-0.087,0.296,0.83
-0.085,0.272,0.83
-0.074,0.25,0.876
-0.06,0.231,0.935
-0.052,0.223,0.975
-0.052,0.223,0.992
-0.05,0.223,1.008
-0.047,0.223,1.026
-0.041,0.217,1.026
-0.035,0.205,1.044
-0.028,0.192,1.065
-0.024,0.187,1.101
-0.024,0.189,1.162
-0.03,0.175,1.218
-0.049,0.175,1.222
-0.072,0.133,1.187
-0.088,0.092,1.187
-0.088,0.077,1.147
-0.08,0.083,1.117
-0.072,0.099,1.091
-0.072,0.113,1.067
-0.065,0.113,1.039
-0.059,0.123,1.013
-0.051,0.124,0.888
-0.038,0.115,0.995
-0.016,0.099,0.981
0.008,0.082,0.969
0.008,0.067,0.959
0.028,0.067,0.948
0.047,0.049,0.936
0.061,0.033,0.936
0.073,0.017,0.92
0.084,0.002,0.904
0.091,-0.012,0.887
0.091,-0.027,0.869
0.098,-0.039,0.856
0.106,-0.039,0.845
0.113,-0.049,0.835
0.122,-0.059,0.835
0.129,-0.068,0.824
0.135,-0.077,0.815
0.14,-0.085,0.811
0.14,-0.094,0.812
0.142,-0.094,0.813
0.142,-0.102,0.815
0.14,-0.106,0.815
0.137,-0.109,0.819
0.136,-0.11,0.823
0.134,-0.108,0.825
0.134,-0.106,0.829
0.13,-0.101,0.835
0.126,-0.101,0.846
0.124,-0.093,0.86
0.122,-0.087,0.86
0.117,-0.081,0.876
0.112,-0.076,0.89
0.112,-0.071,0.902
0.107,-0.069,0.914
0.102,-0.069,0.924
0.098,-0.072,0.933
0.091,-0.074,0.933
0.082,-0.077,0.94
0.081,-0.078,0.958
0.078,-0.074,0.977
0.078,-0.072,0.977
0.062,-0.072,0.98
0.052,-0.074,0.991
0.049,-0.072,1.116
0.046,-0.068,1.005
0.04,-0.064,1.016
0.033,-0.059,1.023
0.033,-0.057,1.028
0.028,-0.057,1.033
0.024,-0.057,1.037
0.018,-0.058,1.037
0.011,-0.064,1.041
0.008,-0.073,1.046
0.006,-0.08,1.057
0.006,-0.089,1.063
0.006,-0.098,1.058
0.006,-0.098,1.054
0.006,-0.11,1.049
0.01,-0.124,1.049
-0.119,1.044,1.392
-0.244,1.054,1.453
-0.166,0.911,1.456
-0.248,0.911,1.556
-0.356,0.728,1.637
-0.474,0.522,1.637
-0.557,0.332,1.587
-0.586,0.211,1.484
-0.569,0.13,1.412
-0.569,0.055,1.38
-0.514,-0.07,1.361
-0.427,-0.034,1.337
-0.325,-0.098,1.337
-0.219,-0.099,1.299
-0.118,-0.051,1.25
-0.038,0.025,1.198
0.087,0.093,1.134
0.011,0.124,1.047
0.036,0.124,0.961
0.054,0.126,0.893
0.066,0.122,0.893
0.079,0.116,0.842
0.092,0.101,0.815
0.102,0.079,0.8
0.102,0.048,0.769
0.105,0.048,0.733
0.11,0.015,0.709
0.126,-0.014,0.709
0.141,-0.03,0.702
0.156,-0.039,0.715
0.171,-0.039,0.74
0.171,-0.033,0.765
0.179,-0.029,0.793
0.186,-0.029,0.816
0.195,-0.029,0.838
0.196,-0.027,0.838
0.194,-0.019,0.867
0.192,-0.007,0.899
0.192,0.007,0.932
0.184,0.023,0.962
0.17,0.023,0.995
0.149,0.04,1.028
0.125,0.052,1.028
0.1,0.058,1.053
0.07,0.073,1.072
0.031,0.106,1.095
0.031,0.14,1.118
-0.02,0.14,1.122
-0.069,0.153,1.111
-0.102,0.141,1.111
-0.117,0.121,1.099
-0.123,0.117,1.098
-0.128,0.122,1.106
-0.128,0.12,1.115
-0.13,0.103,1.123
-0.123,0.103,1.132
-0.104,0.079,1.132
-0.079,0.057,1.148
-0.055,0.044,1.16
-0.034,0.038,1.163
-0.034,0.04,1.16
-0.018,0.045,1.153
-0.012,0.045,1.144
-0.01,0.047,1.136
-0.008,0.049,1.136
-0.008,0.049,1.124
-0.008,0.047,1.112
-0.003,0.043,1.101
-0.003,0.032,1.091
0.005,0.032,1.079
0.014,0.02,1.061
0.021,0.012,1.048
0.028,0.005,1.048
0.037,0.003,1.04
0.041,0.002,1.029
0.041,-0.002,1.013
0.038,-0.002,0.994
0.034,-0.002,0.979
0.031,0.001,0.97
0.031,0.002,0.97
0.032,0.009,0.962
0.035,0.016,0.955
0.037,0.019,0.947
0.037,0.021,0.939
0.038,0.021,0.93
0.039,0.019,0.923
0.038,0.014,0.923
0.034,0.006,0.915
0.028,-0.002,0.908
0.021,-0.011,0.902
0.021,-0.021,0.897
0.018,-0.021,0.894
0.012,-0.028,0.89
0.006,-0.038,0.89
0.005,-0.048,0.886
0.006,-0.054,0.882
0.007,-0.062,0.881
0.007,-0.072,0.88
0.01,-0.079,0.878
0.014,-0.079,0.878
0.018,-0.088,0.878
0.022,-0.096,0.879
0.023,-0.1,0.879
0.024,-0.105,0.879
0.024,-0.11,0.881
0.027,-0.114,0.882
0.029,-0.114,0.886
0.031,-0.117,0.89
0.032,-0.119,0.89
0.03,-0.12,0.894
0.029,-0.122,0.897
0.028,-0.123,0.899
0.028,-0.126,0.9
0.026,-0.127,0.903
0.023,-0.127,0.912
0.013,-0.13,0.901
-0.01,-0.147,0.901
-0.032,-0.156,0.887
-0.046,-0.15,0.885
-0.04,0.897,1.419
-0.041,1.143,1.419
-0.078,1.07,1.476
-0.151,0.794,1.534
-0.269,0.518,1.605
-0.269,0.353,1.533
-0.384,0.295,1.382
-0.454,0.295,1.282
-0.475,0.248,1.251
-0.456,0.155,1.251
-0.405,0.01,1.275
-0.333,-0.114,1.301
-0.208,-0.146,1.281
-0.249,-0.114,1.249
-0.153,-0.114,1.205
-0.057,-0.044,1.121
0.019,0.032,1.121
0.062,0.081,1.01
0.082,0.102,0.911
0.089,0.106,0.832
0.089,0.104,0.77
0.082,0.104,0.721
0.06,0.101,0.672
0.041,0.087,0.672
0.028,0.083,0.634
0.023,0.095,0.626
0.033,0.114,0.656
0.033,0.12,0.679
0.055,0.09,0.675
0.082,0.09,0.672
0.109,0.064,0.672
0.124,0.06,0.667
0.133,0.058,0.67
0.142,0.054,0.681
0.142,0.049,0.699
0.148,0.052,0.732
0.147,0.052,0.773
0.14,0.055,0.811
0.127,0.063,0.811
0.112,0.081,0.852
0.109,0.104,0.928
0.109,0.126,1
0.104,0.137,1.029
0.08,0.137,1.054
0.057,0.134,1.078
0.038,0.122,1.078
0.012,0.1,1.095
-0.014,0.074,1.113
-0.034,0.058,1.14
-0.034,0.048,1.166
-0.053,0.044,1.182
-0.069,0.044,1.202
-0.086,0.05,1.224
-0.11,0.059,1.224
-0.141,0.055,1.224
-0.17,0.036,1.201
-0.17,0.013,1.171
-0.18,0,1.143
-0.171,0,1.121
-0.154,0.001,1.106
-0.132,0.006,1.106
-0.103,0.003,1.095
-0.073,-0.01,1.084
-0.039,-0.028,1.073
-0.039,-0.047,1.061
-0.005,-0.047,1.043
0.02,-0.061,1.019
0.038,-0.063,1.019
0.05,-0.058,0.996
0.059,-0.048,0.974
0.063,-0.035,0.956
0.063,-0.021,0.94
0.064,-0.008,0.923
0.067,-0.008,0.91
0.072,0.006,0.896
0.075,0.02,0.896
0.081,0.031,0.884
0.085,0.042,0.876
0.085,0.054,0.873
0.085,0.062,0.872
0.084,0.062,0.872
0.082,0.066,0.871
0.074,0.066,0.871
0.062,0.061,0.873
0.047,0.048,0.877
0.047,0.034,0.881
0.029,0.018,0.886
0.011,-0.107,0.891
-0.005,-0.001,0.895
-0.02,-0.02,0.895
-0.032,-0.038,0.907
-0.043,-0.049,0.919
-0.05,-0.058,0.929
-0.05,-0.067,0.938
-0.053,-0.067,0.946
-0.054,-0.075,0.954
-0.049,-0.085,0.961
-0.041,-0.094,0.961
-0.034,-0.103,0.967
-0.027,-0.109,0.97
-0.027,-0.111,0.973
-0.023,-0.111,0.975
-0.019,-0.111,0.974
-0.019,-0.11,0.972
-0.021,-0.109,0.972
-0.024,-0.108,0.971
-0.029,-0.109,0.968
-0.034,-0.112,0.964
-0.034,-0.114,0.962
-0.039,-0.114,0.959
-0.044,-0.118,0.956
-0.048,-0.122,0.956
-0.049,-0.124,0.955
-0.048,-0.125,0.956
-0.046,-0.127,0.958
-0.046,-0.134,0.958
-0.046,-0.144,0.957
-0.045,-0.144,0.956
-0.043,-0.152,0.958
-0.037,1.208,1.891
-0.061,1.441,1.874
-0.151,1.195,1.913
-0.306,0.806,2.014
-0.431,0.586,2.026
-0.474,0.614,1.761
-0.598,0.614,1.466
-0.63,0.538,1.335
-0.595,0.265,1.335
-0.546,0.043,1.289
-0.471,-0.102,1.291
-0.37,-0.156,1.305
-0.37,-0.119,1.234
-0.271,-0.119,1.072
-0.192,-0.038,0.883
-0.119,0.03,0.633
-0.045,0.058,0.719
0.021,0.058,0.611
0.083,0.052,0.543
0.208,0.052,0.494
0.136,0.067,0.475
0.174,0.067,0.49
0.189,0.093,0.516
0.181,0.114,0.516
0.162,0.123,0.55
0.13,0.13,0.582
0.092,0.13,0.598
0.092,0.113,0.622
0.065,0.113,0.637
0.04,0.108,0.654
0.027,0.116,0.654
0.023,0.115,0.682
0.022,0.106,0.706
0.041,0.087,0.74
0.041,0.075,0.772
0.059,0.075,0.795
0.06,0.079,0.821
0.052,0.092,0.821
0.043,0.091,0.846
0.031,0.083,0.864
0.017,0.072,0.871
0.017,0.062,0.868
0.006,0.062,0.877
-0.004,0.068,0.893
-0.018,0.08,0.893
-0.031,0.087,0.902
-0.028,0.088,0.928
-0.018,0.089,0.964
-0.018,0.098,0.975
-0.026,0.109,0.979
-0.04,0.109,1.02
-0.053,0.135,1.096
-0.081,0.169,1.096
-0.133,0.175,1.148
-0.18,0.148,1.157
-0.19,0.112,1.156
-0.19,0.086,1.156
-0.168,0.086,1.154
-0.136,0.08,1.148
-0.106,0.084,1.148
-0.077,0.088,1.135
-0.045,0.078,1.114
-0.006,0.054,1.086
-0.006,0.014,1.056
0.033,-0.111,1.028
0.067,-0.034,1.009
0.095,-0.076,0.884
0.117,-0.106,0.998
0.127,-0.123,0.994
0.129,-0.128,0.986
0.129,-0.126,0.978
0.126,-0.119,0.97
0.121,-0.119,0.96
0.119,-0.109,0.95
0.118,-0.098,0.95
0.12,-0.088,0.94
0.123,-0.08,0.933
0.128,-0.071,0.928
0.128,-0.062,0.925
0.134,-0.055,0.925
0.139,-0.055,0.925
0.138,-0.05,0.925
0.131,-0.046,0.925
0.123,-0.041,0.923
0.112,-0.033,0.919
0.112,-0.029,0.914
0.097,-0.028,0.91
0.08,-0.028,0.908
0.064,-0.025,0.911
0.053,-0.025,0.911
0.045,-0.03,0.924
0.038,-0.035,0.938
0.028,-0.036,0.945
0.028,-0.041,0.95
0.019,-0.041,0.956
0.011,-0.049,0.96
0.003,-0.058,0.96
-0.003,-0.065,0.966
-0.01,-0.07,0.974
-0.016,-0.075,0.981
-0.016,-0.077,0.987
-0.022,-0.077,0.989
-0.031,-0.08,0.988
-0.039,-0.081,0.988
-0.045,-0.083,0.988
-0.051,-0.087,0.99
-0.053,-0.09,0.992
-0.053,-0.092,0.993
-0.052,-0.095,0.99
-0.049,-0.095,0.988
-0.044,-0.097,0.988
-0.038,-0.1,0.988
-0.034,-0.102,0.986
-0.032,-0.106,0.981
-0.033,-0.113,0.973
-0.033,-0.122,0.964
-0.034,-0.122,0.957
-0.038,-0.13,0.95
-0.043,-0.137,0.95
0.031,0.684,1.586
-0.006,1.016,1.836
-0.074,1.122,1.804
-0.192,1.01,1.884
-0.339,0.781,1.933
-0.464,0.526,1.957
-0.474,0.302,1.875
-0.565,0.177,1.706
-0.602,0.163,1.526
-0.586,0.071,1.526
-0.512,-0.035,1.386
-0.4,-0.144,1.3
-0.27,-0.198,1.248
-0.27,-0.176,1.207
-0.142,-0.103,1.159
-0.037,-0.103,1.087
0.033,-0.009,1.087
0.08,0.073,1.002
0.114,0.126,0.92
0.132,0.147,0.829
0.132,0.148,0.742
0.133,0.146,0.693
0.122,0.146,0.677
0.112,0.137,0.683
0.105,0.113,0.683
0.096,0.081,0.701
0.078,0.057,0.709
0.059,0.041,0.7
0.059,0.033,0.694
0.05,0.033,0.711
0.055,0.033,0.739
0.067,0.037,0.739
0.08,0.042,0.769
0.093,0.051,0.794
0.103,0.051,0.816
0.103,0.043,0.833
0.107,0.043,0.851
0.102,0.044,0.891
0.1,0.049,0.891
0.093,0.054,0.941
0.068,0.061,0.98
0.035,0.064,1.013
0.035,0.061,1.041
-0.002,0.061,1.066
-0.041,0.049,1.093
-0.077,0.027,1.127
-0.105,0.003,1.127
-0.122,-0.021,1.159
-0.125,-0.037,1.166
-0.113,-0.018,1.137
-0.113,0.035,1.091
-0.084,0.035,1.064
-0.052,0.083,1.061
-0.031,0.114,1.061
-0.033,0.122,1.066
-0.055,0.109,1.068
-0.081,0.078,1.061
-0.081,0.038,1.049
-0.098,0.001,1.039
-0.103,0.001,1.036
-0.095,-0.027,1.036
-0.075,-0.04,1.037
-0.05,-0.04,1.04
-0.028,-0.035,1.04
-0.028,-0.033,1.032
-0.007,-0.038,1.023
0.009,-0.038,1.013
0.017,-0.05,1.013
0.015,-0.06,1.001
0.01,-0.063,0.991
0.003,-0.061,0.98
-0.122,-0.056,0.968
-0.002,-0.052,0.956
-0.004,-0.052,0.95
-0.003,-0.051,0.947
-0.001,-0.05,0.947
0.002,-0.052,0.945
0.008,-0.057,0.944
0.018,-0.06,0.943
0.018,-0.061,0.943
0.027,-0.061,0.948
0.033,-0.062,0.955
0.037,-0.063,0.955
0.041,-0.063,0.959
0.046,-0.068,0.963
0.048,-0.073,0.966
0.048,-0.079,0.969
0.05,-0.085,0.971
0.05,-0.085,0.97
0.047,-0.091,0.969
0.044,-0.096,0.969
0.041,-0.096,0.969
0.038,-0.097,0.965
0.038,-0.098,0.959
0.031,-0.097,0.954
0.024,-0.097,0.948
0.017,-0.092,0.945
0.009,-0.088,0.945
0.003,-0.083,0.943
-0.001,-0.08,0.941
-0.002,-0.078,0.937
-0.002,-0.077,0.935
-0.001,-0.078,0.938
0,-0.078,0.942
0,-0.077,0.942
0.004,-0.079,0.942
0.007,-0.083,0.939
0.009,-0.088,0.941
0.009,-0.092,0.946
0.011,-0.1,0.949
0.012,-0.1,0.952
0.01,-0.111,0.952
0.007,-0.121,0.954
0.006,-0.134,0.954
0.004,-0.15,0.953
0.004,-0.163,0.953
0,-0.175,0.953
-0.005,-0.175,0.952
-0.014,-0.186,0.952
-0.043,1.136,1.628
-0.058,1.136,1.676
-0.107,1.009,1.676
-0.205,0.769,1.731
-0.318,0.488,1.784
-0.403,0.25,1.754
-0.403,0.114,1.648
-0.447,0.047,1.537
-0.455,-0.078,1.452
-0.427,-0.02,1.39
-0.366,-0.09,1.39
-0.28,-0.129,1.348
-0.177,-0.122,1.315
-0.072,-0.07,1.285
-0.072,0.009,1.241
0.015,0.08,1.167
0.078,0.08,1.079
0.118,0.124,1.007
0.142,0.149,1.007
0.157,0.179,0.966
0.158,0.191,0.935
0.158,0.159,0.877
0.146,0.11,0.816
0.127,0.11,0.775
0.112,0.072,0.745
0.1,0.049,0.745
0.091,0.036,0.729
0.092,0.028,0.723
0.103,0.026,0.728
0.103,0.032,0.744
0.113,0.032,0.762
0.127,0.039,0.782
0.144,0.042,0.782
0.155,0.052,0.801
0.157,0.065,0.824
0.15,0.072,0.849
0.15,0.076,0.871
0.129,0.076,0.891
0.099,0.076,0.908
0.065,0.069,0.908
0.032,0.058,0.922
-0.003,0.045,0.936
-0.028,0.03,0.951
-0.028,0.016,0.965
-0.047,0.008,0.98
-0.059,0.008,0.996
-0.062,0.008,1.013
-0.059,0.017,1.013
-0.047,0.037,1.036
-0.044,0.055,1.049
-0.046,0.062,1.042
-0.046,0.054,1.031
-0.045,0.054,1.021
-0.041,0.041,1.013
-0.038,0.033,1.013
-0.039,0.03,1.009
-0.042,0.026,1.008
-0.044,0.022,1.005
-0.044,0.017,1.001
-0.041,0.017,0.999
-0.037,0.014,0.998
-0.032,0.013,0.998
-0.031,0.015,0.993
-0.03,0.019,0.985
-0.028,0.022,0.983
-0.028,0.025,0.98
-0.027,0.027,0.978
-0.026,0.027,0.979
-0.022,0.026,0.977
-0.017,0.021,0.977
-0.011,0.019,0.975
-0.004,0.015,0.972
-0.001,0.007,0.967
-0.001,0,0.965
0.002,0,0.963
0.004,-0.006,0.96
0.004,-0.015,0.96
0.004,-0.024,0.96
0.008,-0.032,0.96
0.013,-0.041,0.958
0.013,-0.05,0.957
0.018,-0.05,0.96
0.019,-0.056,0.962
0.019,-0.059,0.962
0.02,-0.064,0.96
0.021,-0.067,0.96
0.022,-0.065,0.961
0.022,-0.066,0.962
0.02,-0.066,0.962
0.018,-0.067,0.962
0.016,-0.068,0.962
0.012,-0.072,0.962
0.008,-0.075,0.96
0.005,-0.081,0.957
0.005,-0.092,0.957
0.005,-0.092,0.956
0.003,-0.102,0.956
0,-0.112,0.956
-0.001,-0.119,0.959
-0.001,-0.123,0.959
-0.001,-0.123,0.959
-0.001,-0.124,0.96
-0.001,-0.124,0.961
-0.001,-0.124,0.962
-0.002,-0.126,0.962
-0.004,-0.132,0.962
-0.006,-0.137,0.964
-0.008,-0.143,0.964
-0.013,-0.151,0.961
-0.013,-0.159,0.958
-0.019,-0.159,0.957
-0.022,-0.163,0.955
-0.024,-0.166,0.955
-0.025,-0.166,0.956
-0.023,-0.166,0.964
-0.02,-0.168,0.969
-0.02,-0.171,0.975
-0.017,-0.178,0.979
-0.014,-0.178,0.979
-0.051,1.374,1.908
-0.09,1.338,2.141
-0.157,1.338,2.221
-0.286,0.926,2.346
-0.449,0.509,2.325
-0.592,0.361,2.338
-0.666,0.381,2.161
-0.669,0.355,1.896
-0.669,0.227,1.656
-0.624,0.102,1.488
-0.553,0.075,1.388
-0.465,-0.036,1.388
-0.365,-0.075,1.317
-0.257,-0.05,1.238
-0.145,0,1.16
-0.145,0.069,1.064
-0.054,0.194,0.957
0.014,0.127,0.907
0.083,0.177,0.886
0.133,0.237,0.886
0.14,0.245,0.816
0.121,0.221,0.712
0.121,0.207,0.648
0.096,0.194,0.616
0.073,0.194,0.583
0.053,0.174,0.559
0.04,0.159,0.559
0.037,0.145,0.562
0.048,0.13,0.585
0.069,0.117,0.617
0.069,0.102,0.659
0.092,0.091,0.707
0.115,0.091,0.758
0.13,0.081,0.758
0.127,0.069,0.802
0.107,0.057,0.836
0.075,0.045,0.864
0.075,0.034,0.886
0.04,0.029,0.913
0.001,0.029,0.955
-0.038,0.037,1.08
-0.076,0.046,1
-0.114,0.042,1.029
-0.137,0.029,1.036
-0.137,0.015,1.032
-0.137,0.007,1.029
-0.121,0.007,1.033
-0.1,0.006,1.044
-0.082,0.008,1.044
-0.066,0.002,1.055
-0.055,-0.012,1.062
-0.046,-0.028,1.064
-0.046,-0.043,1.057
-0.04,-0.043,1.045
-0.042,-0.054,1.028
-0.049,-0.057,1.008
-0.055,-0.049,1.008
-0.061,-0.039,0.993
-0.064,-0.033,0.981
-0.064,-0.027,0.968
-0.063,-0.023,0.956
-0.058,-0.023,0.95
-0.051,-0.021,0.945
-0.041,-0.019,0.945
-0.03,-0.016,0.94
-0.02,-0.016,0.935
-0.012,-0.015,0.926
-0.012,-0.014,0.92
-0.007,-0.014,0.914
-0.004,-0.012,0.91
0,-0.008,0.91
0.001,-0.003,0.904
0.001,0.003,0.901
0.001,0.008,0.901
0.001,0.011,0.897
0.002,0.014,0.896
0.004,0.014,0.9
0.004,0.016,0.9
0.005,0.019,0.905
0.006,0.016,0.91
0.005,0.008,0.914
0.005,0,0.919
0.006,-0.009,0.938
0.011,-0.009,0.944
0.007,-0.021,0.944
-0.004,-0.035,0.938
-0.014,-0.047,0.941
-0.023,-0.058,0.944
-0.023,-0.07,0.948
-0.031,-0.078,0.954
-0.042,-0.078,0.957
-0.053,-0.082,0.96
-0.06,-0.084,0.96
-0.063,-0.084,0.964
-0.065,-0.084,0.965
-0.064,-0.083,0.965
-0.064,-0.083,0.966
-0.063,-0.083,0.968
-0.061,-0.082,0.972
-0.058,-0.084,0.972
-0.052,-0.088,0.976
-0.047,-0.091,0.982
-0.041,-0.096,0.989
-0.041,-0.102,0.996
-0.031,-0.11,1.003
-0.023,-0.11,1.008
-0.014,-0.118,1.008
-0.006,-0.126,1.01
0,-0.136,1.013
0.003,-0.143,1.016
0.003,-0.149,1.018
0.004,-0.155,1.02
0.003,-0.155,1.019
0,-0.157,1.016
-0.007,-0.16,1.016
-0.015,-0.164,1.011
-0.02,-0.167,1.006
-0.02,-0.168,1.003
-0.026,-0.169,1.002
-0.094,1.023,1.65
-0.151,1.049,1.697
-0.23,0.936,1.697
-0.332,0.704,1.719
-0.424,0.467,1.745
-0.485,0.31,1.715
-0.485,0.222,1.635
-0.502,0.136,1.543
-0.488,0.136,1.456
-0.452,0.034,1.378
-0.392,-0.058,1.378
-0.309,-0.115,1.315
-0.22,-0.122,1.274
-0.22,-0.081,1.24
-0.134,-0.014,1.189
-0.058,0.111,1.1
-0.009,0.052,0.994
0.02,0.099,0.994
0.044,0.13,0.907
0.059,0.154,0.851
0.065,0.162,0.811
0.065,0.152,0.778
0.068,0.126,0.744
0.062,0.126,0.706
0.053,0.085,0.687
0.048,0.054,0.687
0.05,0.04,0.689
0.057,0.035,0.706
0.057,0.028,0.728
0.06,0.017,0.753
0.064,0.017,0.783
0.075,0.005,0.807
0.089,0,0.807
0.107,-0.001,0.832
0.122,-0.001,0.858
0.128,0.001,0.886
0.128,0.002,0.915
0.126,0.002,0.942
0.115,0.003,0.967
0.102,0,0.967
0.085,-0.006,0.99
0.064,-0.016,1.011
0.042,-0.028,1.033
0.042,-0.042,1.057
0.025,-0.042,1.074
0.014,-0.056,1.081
0.004,-0.042,1.081
-0.009,0.001,1.092
-0.033,0.044,1.104
-0.057,0.062,1.103
-0.057,0.055,1.091
-0.064,0.042,1.078
-0.064,0.042,1.072
-0.068,0.038,1.072
-0.078,0.038,1.074
-0.085,0.03,1.077
-0.081,0.011,1.078
-0.081,-0.016,1.081
-0.067,-0.039,1.089
-0.044,-0.039,1.096
-0.019,-0.052,1.098
0,-0.056,1.098
0.015,-0.055,1.096
0.022,-0.054,1.092
0.022,-0.05,1.085
0.025,-0.045,1.076
0.029,-0.045,1.069
0.032,-0.044,1.063
0.034,-0.041,1.063
0.037,-0.035,1.055
0.038,-0.032,1.045
0.042,-0.029,1.036
0.042,-0.025,1.026
0.047,-0.025,1.017
0.049,-0.025,1.007
0.051,-0.027,1.007
0.047,-0.028,1.002
0.041,-0.032,0.999
0.038,-0.035,0.996
0.034,-0.04,0.994
0.034,-0.045,0.992
0.03,-0.045,0.989
0.025,-0.051,0.986
0.022,-0.058,0.986
0.023,-0.065,0.984
0.026,-0.071,0.981
0.031,-0.079,0.978
0.031,-0.086,0.98
0.038,-0.086,0.98
0.046,-0.095,0.977
0.055,-0.1,0.977
0.063,-0.101,0.973
0.068,-0.105,0.97
0.071,-0.107,0.968
0.071,-0.109,0.966
0.073,-0.109,0.964
0.074,-0.111,0.96
0.074,-0.108,0.96
0.074,-0.106,0.956
0.075,-0.102,0.954
0.076,-0.097,0.951
0.076,-0.093,0.946
0.075,-0.089,0.942
0.074,-0.089,0.943
0.072,-0.086,0.943
0.066,-0.082,0.943
0.062,-0.08,0.941
0.055,-0.077,0.938
0.046,-0.077,0.935
0.046,-0.083,0.935
0.039,-0.083,0.935
0.034,-0.095,0.934
0.032,-0.109,0.934
0.03,-0.124,0.932
0.026,-0.141,0.924
0.018,-0.157,0.908
0.018,-0.173,0.898
0.01,-0.187,0.896
0.005,-0.187,0.898
-0.165,0.807,1.5
-0.246,0.9,1.708
-0.345,0.7,1.783
-0.416,0.398,1.847
-0.416,0.23,1.892
-0.466,0.23,1.852
-0.506,0.229,1.769
-0.512,0.263,1.708
-0.48,0.225,1.708
-0.428,0.131,1.661
-0.374,0.038,1.576
-0.374,-0.02,1.443
-0.321,-0.039,1.312
-0.261,-0.039,1.209
-0.191,-0.027,1.143
-0.122,0,1.143
-0.059,0.025,1.1
-0.01,0.036,1.056
