aX,aY,aZ
-0.084,-0.332,0.896
-0.069,-0.359,0.891
-0.053,-0.387,0.887
-0.034,-0.421,0.885
-0.034,-0.462,0.88
-0.016,-0.462,0.869
0,-0.503,0.856
-0.158,-0.819,1.022
-0.165,-0.851,1.022
-0.181,-0.863,0.996
-0.203,-0.858,0.964
-0.229,-0.837,0.932
-0.229,-0.796,0.902
-0.256,-0.671,0.88
-0.276,-0.743,0.865
-0.288,-0.683,0.847
-0.299,-0.62,0.847
-0.304,-0.566,0.823
-0.303,-0.525,0.795
-0.303,-0.495,0.761
-0.298,-0.476,0.726
-0.291,-0.476,0.699
-0.284,-0.466,0.678
-0.279,-0.465,0.678
-0.282,-0.473,0.665
-0.295,-0.492,0.653
-0.308,-0.518,0.645
-0.308,-0.543,0.64
-0.317,-0.564,0.636
-0.321,-0.564,0.643
-0.318,-0.576,0.652
-0.311,-0.58,0.652
-0.297,-0.578,0.653
-0.275,-0.567,0.66
-0.24,-0.544,0.68
-0.24,-0.521,0.711
-0.195,-0.521,0.739
-0.154,-0.509,0.757
-0.126,-0.508,0.757
-0.112,-0.515,0.77
-0.102,-0.529,0.784
-0.093,-0.546,0.799
-0.093,-0.56,0.816
-0.087,-0.573,0.837
-0.081,-0.573,0.86
-0.083,-0.526,0.874
-0.088,-0.515,0.874
-0.084,-0.58,0.874
-0.076,-0.641,0.874
-0.064,-0.719,0.87
-0.064,-0.78,0.852
-0.06,-0.78,0.831
-0.066,-0.814,0.811
-0.072,-0.814,0.811
-0.074,-0.787,0.794
-0.069,-0.737,0.799
-0.061,-0.669,0.812
-0.061,-0.591,0.819
-0.064,-0.519,0.834
-0.067,-0.519,0.843
-0.063,-0.455,0.843
-0.048,-0.4,0.849
-0.031,-0.358,0.855
-0.007,-0.317,0.852
0.118,-0.283,0.854
0.016,-0.271,0.848
0.006,-0.271,0.821
-0.052,-0.301,0.806
-0.127,-0.368,0.806
-0.181,-0.45,0.817
-0.204,-0.538,0.852
-0.201,-0.623,0.897
-0.201,-0.712,0.938
-0.185,-0.837,0.973
-0.155,-0.795,0.991
-0.119,-0.858,0.991
-0.084,-0.899,0.989
-0.044,-0.916,0.976
-0.011,-0.913,0.949
0.114,-0.893,0.927
0.01,-0.851,0.911
0.028,-0.851,0.896
0.039,-0.787,0.882
0.035,-0.715,0.882
0.022,-0.641,0.87
0.001,-0.582,0.857
-0.032,-0.539,0.841
-0.032,-0.508,0.826
-0.07,-0.383,0.816
-0.104,-0.485,0.8
-0.135,-0.465,0.8
-0.173,-0.455,0.763
-0.213,-0.46,0.721
-0.243,-0.467,0.691
-0.368,-0.481,0.665
-0.26,-0.512,0.649
-0.266,-0.512,0.639
-0.264,-0.558,0.631
-0.257,-0.611,0.631
-0.255,-0.655,0.634
-0.256,-0.694,0.646
-0.254,-0.728,0.658
-0.254,-0.749,0.668
-0.25,-0.874,0.682
-0.243,-0.758,0.7
-0.231,-0.751,0.7
-0.218,-0.742,0.721
-0.203,-0.729,0.741
-0.191,-0.708,0.764
-0.191,-0.686,0.79
-0.183,-0.669,0.808
-0.179,-0.669,0.81
-0.176,-0.651,0.806
-0.173,-0.628,0.806
-0.175,-0.607,0.796
-0.174,-0.596,0.78
-0.174,-0.582,0.773
-0.173,-0.566,0.769
-0.174,-0.566,0.754
-0.173,-0.563,0.734
-0.173,-0.561,0.734
-0.172,-0.553,0.722
-0.165,-0.556,0.711
-0.152,-0.565,0.698
-0.152,-0.576,0.691
-0.143,-0.601,0.676
0.173,-0.74,1.293
0.259,-0.777,1.229
0.312,-0.777,1.174
0.338,-0.774,1.174
0.357,-0.77,1.147
0.378,-0.768,1.159
0.393,-0.763,1.191
0.396,-0.761,1.219
0.396,-0.769,1.231
0.391,-0.769,1.227
0.379,-0.782,1.199
0.364,-0.805,1.199
0.359,-0.85,1.154
0.362,-0.9,1.112
0.368,-0.937,1.073
0.368,-0.953,1.028
0.371,-0.947,0.979
0.366,-0.947,0.937
0.358,-0.923,0.902
0.339,-0.882,0.902
0.307,-0.84,0.874
0.266,-0.794,0.856
0.141,-0.745,0.843
0.213,-0.696,0.83
0.15,-0.696,0.818
0.082,-0.654,0.811
0.013,-0.624,0.811
-0.052,-0.605,0.803
-0.115,-0.594,0.793
-0.173,-0.588,0.784
-0.173,-0.579,0.779
-0.22,-0.579,0.776
-0.258,-0.568,0.774
-0.288,-0.556,0.774
-0.313,-0.539,0.775
-0.329,-0.511,0.781
-0.33,-0.476,0.792
-0.316,-0.439,0.808
-0.316,-0.4,0.83
-0.29,-0.4,0.854
-0.259,-0.36,0.879
-0.228,-0.326,0.879
-0.202,-0.306,0.904
-0.174,-0.307,0.928
-0.156,-0.325,0.94
-0.156,-0.353,0.951
-0.138,-0.478,0.965
-0.119,-0.386,0.976
-0.109,-0.422,0.991
-0.093,-0.456,0.991
